CBlood,KGIb,Kfeces,Particle size,Exposure time,Exposure dose
0.003031016,1.01E-04,0.0011,1,16,0.4
0.078563205,1.00E-04,0.1562,0.5,90,50
0.041108632,1.07E-04,0.3293,5,90,50
0.001030677,4.01E-05,0.508,6,2,5
0.000827888,3.42E-05,0.5046,1,2,5
0.001188944,4.22E-05,0.55,0.22,2,5
0.001527765,4.23E-05,0.548,0.02,2,5
18.09202406,0.0026,0.1019,5,1,250
18.1014993,0.00274,4.77E-02,0.5,1,250
93.46504695,0.35,0.1125,0.8,35,40.5
15.49831992,0.01168,1.11E-01,0.025,7,50
16.58251919,0.01178,0.133,0.05,7,50
12.51495956,0.009,0.1372,0.1,7,50
3.354988541,0.0001568,0.01283,0.05,1,250
