CGI,KGIb,Kfeces,Particle size,Exposure time,Exposure dose
28.09989957,4.28E-03,0.0324,0.5,14,0.833333333
1218.453482,1.00E-04,0.1562,0.5,90,50
1190.922214,1.07E-04,0.3293,5,90,50
0.000783559,4.01E-05,0.508,6,2,5
0.00079936,3.42E-05,0.5046,1,2,5
0.000423801,4.22E-05,0.55,0.22,2,5
0.000465701,4.23E-05,0.548,0.02,2,5
487.8267393,0.0026,0.1019,5,1,250
1775.336603,0.00274,4.77E-02,0.5,1,250
1021.491574,0.35,0.1125,0.8,35,40.5
1254.908091,0.01168,1.11E-01,0.025,7,50
1229.881648,0.01178,0.133,0.05,7,50
1228.024618,0.009,0.1372,0.1,7,50
